p,N,beta,method,x_eval,u_exact,u_h
3,2,1.55,uniform,1.593693530381776e-06,1.0321134911320789e-09,2.668609503319495e-07
3,2,1.55,uniform,1.6308906755493342e-06,1.0696914315616837e-09,2.7308962047026996e-07
3,2,1.55,uniform,1.668956009978023e-06,1.1086375370419928e-09,2.7946367281887717e-07
3,2,1.55,uniform,1.7079097973894268e-06,1.1490016207236166e-09,2.85986500805445e-07
3,2,1.55,uniform,1.7477727744646807e-06,1.190835309390657e-09,2.92661577069281e-07
3,2,1.55,uniform,1.7885661618834618e-06,1.2341921094928135e-09,2.9949245531053763e-07
3,2,1.55,uniform,1.8303116756206132e-06,1.2791274755816136e-09,3.064827721825997e-07
3,2,1.55,uniform,1.8730315385064386e-06,1.3256988812383252e-09,3.1363624922866146e-07
3,2,1.55,uniform,1.916748492056813e-06,1.3739658925842585e-09,3.209566948635228e-07
3,2,1.55,uniform,1.9614858085794294e-06,1.423990244467508e-09,3.2844800640166575e-07
3,2,1.55,uniform,2.0072673035625683e-06,1.4758359194235103e-09,3.3611417213268284e-07
3,2,1.55,uniform,2.0541173483530643e-06,1.5295692295105024e-09,3.439592734451749e-07
3,2,1.55,uniform,2.1020608831301583e-06,1.5852589011244807e-09,3.519874870002448e-07
3,2,1.55,uniform,2.1511234301821673e-06,1.642976162902172e-09,3.6020308695574426e-07
3,2,1.55,uniform,2.2013311074930323e-06,1.7027948368244351e-09,3.6861044724246455e-07
3,2,1.55,uniform,2.2527106426459824e-06,1.7647914326366283e-09,3.7721404389348003e-07
3,2,1.55,uniform,2.305289387051711e-06,1.8290452457066972e-09,3.8601845742789005e-07
3,2,1.55,uniform,2.3590953305086338e-06,1.8956384584461446e-09,3.9502837529022625e-07
3,2,1.55,uniform,2.414157116103018e-06,1.964656245423644e-09,4.042485943468343e-07
3,2,1.55,uniform,2.4705040554568255e-06,2.036186882305643e-09,4.1368402344054577e-07
3,2,1.55,uniform,2.5281661443315005e-06,2.110321858763414e-09,4.2333968600502095e-07
3,2,1.55,uniform,2.587174078595924e-06,2.18715599549088e-09,4.332207227401438e-07
3,2,1.55,uniform,2.6475592705670637e-06,2.2667875654829097e-09,4.433323943498998e-07
3,2,1.55,uniform,2.709353865732049e-06,2.349318419729234e-09,4.5368008434420175e-07
3,2,1.55,uniform,2.7725907598604813e-06,2.434854117484648e-09,4.6426930190614364e-07
3,2,1.55,uniform,2.8373036165162114e-06,2.52350406128226e-09,4.7510568482623187e-07
3,2,1.55,uniform,2.903526884977814e-06,2.6153816368623625e-09,4.861950025051426e-07
3,2,1.55,uniform,2.971295818577334e-06,2.7106043581959403e-09,4.975431590266145e-07
3,2,1.55,uniform,3.0406464934670685e-06,2.8092940177883077e-09,5.091561963021152e-07
3,2,1.55,uniform,3.111615827824363e-06,2.911576842455101e-09,5.210402972889576e-07
3,2,1.55,uniform,3.1842416015046563e-06,3.0175836547698855e-09,5.332017892835842e-07
3,2,1.55,uniform,3.258562476153223e-06,3.127450040389847e-09,5.456471472917747e-07
3,2,1.55,uniform,3.3346180157863626e-06,3.2413165214736565e-09,5.583829974775835e-07
3,2,1.55,uniform,3.4124487078528892e-06,3.3593287364131513e-09,5.714161206928269e-07
3,2,1.55,uniform,3.492095984787271e-06,3.481637626108925e-09,5.847534560890306e-07
3,2,1.55,uniform,3.573602246065788e-06,3.6083996270279205e-09,5.984021048137438e-07
3,2,1.55,uniform,3.6570108807774936e-06,3.7397768712900175e-09,6.123693337932025e-07
3,2,1.55,uniform,3.7423662907219773e-06,3.8759373940395004e-09,6.266625796033564e-07
3,2,1.55,uniform,3.829713914046277e-06,4.017055348366729e-09,6.412894524313346e-07
3,2,1.55,uniform,3.919100249433402e-06,4.163311228054706e-09,6.562577401294449e-07
3,2,1.55,uniform,4.010572880855496e-06,4.314892098435679e-09,6.715754123638955e-07
3,2,1.55,uniform,4.1041805029047085e-06,4.47199183565289e-09,6.872506248604356e-07
3,2,1.55,uniform,4.199972946715306e-06,4.63481137463355e-09,7.032917237491902e-07
3,2,1.55,uniform,4.2980012064907985e-06,4.803558966090184e-09,7.197072500110052e-07
3,2,1.55,uniform,4.398317466650228e-06,4.978450442879077e-09,7.365059440276788e-07
3,2,1.55,uniform,4.500975129608051e-06,5.159709496056505e-09,7.536967502385089e-07
3,2,1.55,uniform,4.606028844202398e-06,5.347567960985775e-09,7.712888219056389e-07
3,2,1.55,uniform,4.713534534786907e-06,5.542266113861166e-09,7.892915259907621e-07
3,2,1.55,uniform,4.823549431001467e-06,5.7440529790277616e-09,8.077144481457595e-07
3,2,1.55,uniform,4.9361320982379165e-06,5.953186647490562e-09,8.26567397819971e-07
3,2,1.55,uniform,5.0513424688167665e-06,6.169934607020037e-09,8.458604134868077e-07
3,2,1.55,uniform,5.169241873891593e-06,6.394574084276385e-09,8.656037679924969e-07
3,2,1.55,uniform,5.2898930760981455e-06,6.627392399390225e-09,8.858079740298373e-07
3,2,1.55,uniform,5.413360302965376e-06,6.868687333452892e-09,9.06483789739853e-07
3,2,1.55,uniform,5.539709281106401e-06,7.118767509386804e-09,9.276422244443809e-07
3,2,1.55,uniform,5.669007271207434e-06,7.377952786682739e-09,9.492945445126266e-07
3,2,1.55,uniform,5.801323103833378e-06,7.646574670509003e-09,9.71452279364835e-07
3,2,1.55,uniform,5.936727216069126e-06,7.924976735715747e-09,9.94127227616282e-07
3,2,1.55,uniform,6.075291689016077e-06,8.21351506627674e-09,1.0173314633648743e-06
3,2,1.55,uniform,6.217090286163833e-06,8.512558710730676e-09,1.0410773426257154e-06
3,2,1.55,uniform,6.362198492657495e-06,8.822490154204479e-09,1.0653775099160802e-06
3,2,1.55,uniform,6.510693555481454e-06,9.143705807622401e-09,1.0902449049943174e-06
3,2,1.55,uniform,6.662654524581149e-06,9.476616514726698e-09,1.1156927697562944e-06
3,2,1.55,uniform,6.818162294944479e-06,9.821648077558038e-09,1.141734655293045e-06
3,2,1.55,uniform,6.9772996496655375e-06,1.0179241801068227e-08,1.1683844291134315e-06
3,2,1.55,uniform,7.140151304013403e-06,1.0549855057561486e-08,1.195656282535659e-06
3,2,1.55,uniform,7.306803950529492e-06,1.0933961871686294e-08,1.2235647382516048e-06
3,2,1.55,uniform,7.477346305177581e-06,1.1332053526726215e-08,1.2521246580680194e-06
3,2,1.55,uniform,7.651869154570818e-06,1.1744639192964656e-08,1.2813512508287132e-06
3,2,1.55,uniform,7.830465404301182e-06,1.2172246578927938e-08,1.311260080522008e-06
3,2,1.55,uniform,8.013230128396886e-06,1.2615422606339138e-08,1.3418670745777637e-06
3,2,1.55,uniform,8.20026061993413e-06,1.3074734109646128e-08,1.3731885323584325e-06
3,2,1.55,uniform,8.391656442830162e-06,1.3550768561018625e-08,1.4052411338486888e-06
3,2,1.55,uniform,8.58751948484518e-06,1.4044134821741357e-08,1.4380419485482797e-06
3,2,1.55,uniform,8.787954011821328e-06,1.455546392096461e-08,1.47160844457287e-06
3,2,1.55,uniform,8.993066723187614e-06,1.5085409862807967e-08,1.505958497967743e-06
3,2,1.55,uniform,9.202966808760409e-06,1.5634650462849913e-08,1.5411104022393713e-06
3,2,1.55,uniform,9.417766006869519e-06,1.620388821507254e-08,1.5770828781099142e-06
3,2,1.55,uniform,9.637578663841089e-06,1.679385119037101e-08,1.6138950834999362e-06
3,2,1.55,uniform,9.862521794868784e-06,1.740529396777644e-08,1.6515666237446425e-06
3,2,1.55,uniform,1.0092715146305697e-05,1.8038998599583356e-08,1.69011756204913e-06
3,2,1.55,uniform,1.0328281259410275e-05,1.8695775611616543e-08,1.7295684301882719e-06
3,2,1.55,uniform,1.0569345535579871e-05,1.9376465039915743e-08,1.7699402394569249e-06
3,2,1.55,uniform,1.0816036303107094e-05,2.0081937505165305e-08,1.8112544918763995e-06
3,2,1.55,uniform,1.106848488549412e-05,2.0813095326242154e-08,1.8535331916631471e-06
3,2,1.55,uniform,1.1326825671361538e-05,2.1570873674306718e-08,1.89679885696585e-06
3,2,1.55,uniform,1.1591196185988858e-05,2.23562417689128e-08,1.941074531877194e-06
3,2,1.55,uniform,1.1861737164524791e-05,2.3170204117666304e-08,1.986383798726782e-06
3,2,1.55,uniform,1.2138592626906288e-05,2.4013801801018384e-08,2.032750790661779e-06
3,2,1.55,uniform,1.2421909954526187e-05,2.4888113803836236e-08,2.0802002045220488e-06
3,2,1.55,uniform,1.2711839968690301e-05,2.57942583954547e-08,2.12875731401669e-06
3,2,1.55,uniform,1.3008537010905705e-05,2.6733394559973748e-08,2.178447983209049e-06
3,2,1.55,uniform,1.3312159025043077e-05,2.770672347863165e-08,2.2292986803174797e-06
3,2,1.55,uniform,1.3622867641416468e-05,2.871549006614864e-08,2.2813364918391987e-06
3,2,1.55,uniform,1.3940828262825757e-05,2.976098456300767e-08,2.3345891370049055e-06
3,2,1.55,uniform,1.4266210152607354e-05,3.08445441857081e-08,2.3890849825719104e-06
3,2,1.55,uniform,1.4599186524739771e-05,3.1967554837102176e-08,2.444853057963669e-06
3,2,1.55,uniform,1.4939934636052563e-05,3.313145287900369e-08,2.5019230707639612e-06
3,2,1.55,uniform,1.5288635880587294e-05,3.433772696933445e-08,2.560325422573976e-06
3,2,1.55,uniform,1.564547588616096e-05,3.558791996615923e-08,2.620091225240867e-06
3,2,1.55,uniform,1.6010644613183176e-05,3.688363090104394e-08,2.6812523174664994e-06
3,2,1.55,uniform,1.6384336455779847e-05,3.822651702426157e-08,2.7438412818053378e-06
3,2,1.55,uniform,1.676675034527701e-05,3.961829592446117e-08,2.8078914620606234e-06
3,2,1.55,uniform,1.7158089856100067e-05,4.1060747725511554e-08,2.873436981088208e-06
3,2,1.55,uniform,1.7558563314144703e-05,4.255571736332907e-08,2.9405127590176444e-06
3,2,1.55,uniform,1.7968383907677192e-05,4.4105116945601854e-08,3.0091545319003395e-06
3,2,1.55,uniform,1.8387769800823267e-05,4.571092819742909e-08,3.0793988707948553e-06
3,2,1.55,uniform,1.8816944249705553e-05,4.7375204996001735e-08,3.151283201299574e-06
3,2,1.55,uniform,1.9256135721291986e-05,4.910007599756901e-08,3.2248458235433627e-06
3,2,1.55,uniform,1.970557801501796e-05,5.08877473600485e-08,3.30012593264494e-06
3,2,1.55,uniform,2.0165510387247444e-05,5.2740505564764174e-08,3.377163639652062e-06
3,2,1.55,uniform,2.0636177678638567e-05,5.466072034091842e-08,3.455999992971717e-06
3,2,1.55,uniform,2.111783044448242e-05,5.665084769654221e-08,3.5366770003030417e-06
3,2,1.55,uniform,2.1610725088083767e-05,5.871343305979745e-08,3.619237651084711e-06
3,2,1.55,uniform,2.2115123997254888e-05,6.085111453465021e-08,3.7037259394689623e-06
3,2,1.55,uniform,2.2631295683995298e-05,6.30666262750791e-08,3.790186887834678e-06
3,2,1.55,uniform,2.3159514927431545e-05,6.536280198213397e-08,3.878666570852232e-06
3,2,1.55,uniform,2.3700062920093303e-05,6.774257852831842e-08,3.969212140113124e-06
3,2,1.55,uniform,2.4253227417603554e-05,7.020899971393126e-08,4.0618718493377365e-06
3,2,1.55,uniform,2.4819302891862576e-05,7.276522016017154e-08,4.156695080174839e-06
3,2,1.55,uniform,2.539859068780724e-05,7.541450934398656e-08,4.253732368606837e-06
3,2,1.55,uniform,2.5991399183829328e-05,7.816025577982454e-08,4.353035431975095e-06
3,2,1.55,uniform,2.6598043955937582e-05,8.100597135363741e-08,4.4546571966398725e-06
3,2,1.55,uniform,2.7218847945751794e-05,8.395529581468133e-08,4.55865182629002e-06
3,2,1.55,uniform,2.785414163241763e-05,8.701200143085657e-08,4.665074750917696e-06
3,2,1.55,uniform,2.8504263208534317e-05,9.017999781354412e-08,4.773982696473885e-06
3,2,1.55,uniform,2.916955876018793e-05,9.346333691810544e-08,4.885433715220707e-06
3,2,1.55,uniform,2.9850382451187297e-05,9.686621822644716e-08,4.999487216797189e-06
3,2,1.55,uniform,3.054709671159968e-05,1.0039299411827465e-07,5.116204000015216e-06
3,2,1.55,uniform,3.1260072430687034e-05,1.0404817543790671e-07,5.235646285403042e-06
3,2,1.55,uniform,3.1989689154345374e-05,1.0783643726377057e-07,5.357877748514023e-06
3,2,1.55,uniform,3.273633528715247e-05,1.1176262488795718e-07,5.482963554018719e-06
3,2,1.55,uniform,3.350040829913136e-05,1.1583176001348429e-07,5.61097039059892e-06
3,2,1.55,uniform,3.4282314937339745e-05,1.2004904717719408e-07,5.741966506662607e-06
3,2,1.55,uniform,3.508247144239796e-05,1.2441988040650036e-07,5.8760217468993305e-06
3,2,1.55,uniform,3.590130377007068e-05,1.2894985011849913e-07,6.013207589695898e-06
3,2,1.55,uniform,3.673924781802074e-05,1.336447502702687e-07,6.153597185432904e-06
3,2,1.55,uniform,3.759674965785468e-05,1.3851058576949962e-07,6.297265395682793e-06
3,2,1.55,uniform,3.8474265772584975e-05,1.435535801549391e-07,6.444288833331108e-06
3,2,1.55,uniform,3.937226329963475e-05,1.4878018355647191e-07,6.594745903642787e-06
3,2,1.55,uniform,4.029122027951344e-05,1.5419708094501246e-07,6.748716846295789e-06
3,2,1.55,uniform,4.123162591029748e-05,1.598112006827702e-07,6.906283778405344e-06
3,2,1.55,uniform,4.2193980808050236e-05,1.6562972338481695e-07,7.067530738562186e-06
3,2,1.55,uniform,4.317879727332022e-05,1.7166009110329313e-07,7.232543731908975e-06
3,2,1.55,uniform,4.4186599563859417e-05,1.779100168459987e-07,7.401410776279604e-06
3,2,1.55,uniform,4.521792417370702e-05,1.8438749444154484e-07,7.574221949426741e-06
3,2,1.55,uniform,4.6273320118786936e-05,1.911008087636825e-07,7.751069437363505e-06
3,2,1.55,uniform,4.735334922917121e-05,1.9805854632788606e-07,7.93204758384585e-06
3,2,1.55,uniform,4.8458586448165e-05,2.0526960627374528e-07,8.117252941022886e-06
3,2,1.55,uniform,4.9589620138372114e-05,2.1274321174721105e-07,8.306784321282964e-06
3,2,1.55,uniform,5.074705239490466e-05,2.2048892169725808e-07,8.500742850324205e-06
3,2,1.55,uniform,5.193149936590212e-05,2.2851664310204212e-07,8.699232021478439e-06
3,2,1.55,uniform,5.3143591580532414e-05,2.3683664364020285e-07,8.902357751318902e-06
3,2,1.55,uniform,5.4383974284647904e-05,2.454595648235085e-07,9.110228436582053e-06
3,2,1.55,uniform,5.56533077842764e-05,2.5439643560764803e-07,9.322955012435235e-06
3,2,1.55,uniform,5.695226779712819e-05,2.636586864985674e-07,9.540651012122057e-06
3,2,1.55,uniform,5.8281545812308395e-05,2.73258164172407e-07,9.763432628018892e-06
3,2,1.55,uniform,5.96418494584246e-05,2.832071466277288e-07,9.99141877413605e-06
3,2,1.55,uniform,6.103390288028621e-05,2.9351835888941723e-07,1.0224731150098337e-05
3,2,1.55,uniform,6.245844712439617e-05,3.0420498928433994e-07,1.0463494306640556e-05
3,2,1.55,uniform,6.391624053344005e-05,3.152807063095839e-07,1.070783571265426e-05
3,2,1.55,uniform,6.540805914998258e-05,3.2675967611484256e-07,1.0957885823823058e-05
3,2,1.55,uniform,6.693469712958668e-05,3.386565806213154e-07,1.1213778152884694e-05
3,2,1.55,uniform,6.849696716357455e-05,3.509866363002921e-07,1.1475649341558992e-05
3,2,1.55,uniform,7.009570091165617e-05,3.6376561363544126e-07,1.1743639234181771e-05
3,2,1.55,uniform,7.173174944465612e-05,3.770098572937019e-07,1.2017890953086002e-05
3,2,1.55,uniform,7.340598369757212e-05,3.9073630703055906e-07,1.2298550975771919e-05
3,2,1.55,uniform,7.511929493320969e-05,4.049625193564661e-07,1.2585769213909759e-05
3,2,1.55,uniform,7.68725952166372e-05,4.1970668999210724e-07,1.2879699094219e-05
3,2,1.55,uniform,7.866681790071574e-05,4.349876771412344e-07,1.3180497641269715e-05
3,2,1.55,uniform,8.050291812295972e-05,4.50825025610826e-07,1.348832556225212e-05
3,2,1.55,uniform,8.238187331399601e-05,4.6723899180944325e-07,1.3803347333762466e-05
3,2,1.55,uniform,8.430468371788966e-05,4.842505696557374e-07,1.4125731290653705e-05
3,2,1.55,uniform,8.62723729246145e-05,5.018815174302559e-07,1.4455649717001179e-05
3,2,1.55,uniform,8.82859884149515e-05,5.201543856048862e-07,1.4793278939234538e-05
3,2,1.55,uniform,9.034660211810534e-05,5.390925456855365e-07,1.5138799421488565e-05
3,2,1.55,uniform,9.24553109823358e-05,5.587202201049407e-07,1.5492395863226785e-05
3,2,1.55,uniform,9.461323755890779e-05,5.790625132038229e-07,1.5854257299193125e-05
3,2,1.55,uniform,9.682153059967096e-05,6.001454433400457e-07,1.6224577201748338e-05
