p,N,beta,method,x_eval,u_exact,u_h
3,2,1.55,uniform,4.691834510607799e-07,1.5508905950466944e-10,7.856318998878959e-08
3,2,1.55,uniform,4.801342923653455e-07,1.6073565504810868e-10,8.039687835442892e-08
3,2,1.55,uniform,4.913407286296366e-07,1.6658783595864615e-10,8.227336571869126e-08
3,2,1.55,uniform,5.028087254942475e-07,1.7265308733820512e-10,8.419365103454315e-08
3,2,1.55,uniform,5.145443878390924e-07,1.7893916681175806e-10,8.615875657144642e-08
3,2,1.55,uniform,5.265539630332755e-07,1.8545411444954151e-10,8.816972845960312e-08
3,2,1.55,uniform,5.388438442608223e-07,1.9220626305053117e-10,9.022763724690653e-08
3,2,1.55,uniform,5.514205739240302e-07,1.9920424880032264e-10,9.233357846889244e-08
3,2,1.55,uniform,5.642908471262542e-07,2.0645702231705285e-10,9.448867323199508e-08
3,2,1.55,uniform,5.774615152359826e-07,2.1397386009948917e-10,9.66940688104183e-08
3,2,1.55,uniform,5.909395895340976e-07,2.217643763919288e-10,9.895093925693957e-08
3,2,1.55,uniform,6.047322449462642e-07,2.2983853548108384e-10,1.0126048602797248e-07
3,2,1.55,uniform,6.188468238624383e-07,2.382066644406835e-10,1.0362393862322109e-07
3,2,1.55,uniform,6.332908400455115e-07,2.4687946634008375e-10,1.060425552402642e-07
3,2,1.55,uniform,6.480719826311971e-07,2.5586803393379335e-10,1.085176234444224e-07
3,2,1.55,uniform,6.631981202212675e-07,2.651838638494143e-10,1.1105046085426103e-07
3,2,1.55,uniform,6.786773050723303e-07,2.7483887129214776e-10,1.136424158430959e-07
3,2,1.55,uniform,6.94517777382369e-07,2.8484540528467127e-10,1.1629486825687451e-07
3,2,1.55,uniform,7.107279696773412e-07,2.9521626446188577e-10,1.1900923014881706e-07
3,2,1.55,uniform,7.273165113001455e-07,3.0596471344071963e-10,1.217869465312045e-07
3,2,1.55,uniform,7.442922330043758e-07,3.171044997859454e-10,1.2462949614471878e-07
3,2,1.55,uniform,7.616641716552891e-07,3.2864987159369656e-10,1.2753839224574205e-07
3,2,1.55,uniform,7.794415750404951e-07,3.4061559571517775e-10,1.305151834120349e-07
3,2,1.55,uniform,7.97633906792928e-07,3.530169766438777e-10,1.335614543672228e-07
3,2,1.55,uniform,8.162508514287236e-07,3.6586987609044187e-10,1.366788268245303e-07
3,2,1.55,uniform,8.35302319502677e-07,3.7919073327023907e-10,1.398689603502112e-07
3,2,1.55,uniform,8.547984528840405e-07,3.929965859295798e-10,1.431335532471372e-07
3,2,1.55,uniform,8.747496301554416e-07,4.0730509213745963e-10,1.4647434345901096e-07
3,2,1.55,uniform,8.951664721378301e-07,4.221345528707246e-10,1.4989310949569104e-07
3,2,1.55,uniform,9.16059847544371e-07,4.3750393542152787e-10,1.5339167138011726e-07
3,2,1.55,uniform,9.374408787663001e-07,4.53432897657023e-10,1.5697189161734266e-07
3,2,1.55,uniform,9.59320947793825e-07,4.699418131623221e-10,1.6063567618618795e-07
3,2,1.55,uniform,9.817117022752183e-07,4.870517972988755e-10,1.6438497555404665e-07
3,2,1.55,uniform,1.0046250617173402e-06,5.047847342116118e-10,1.682217857153825e-07
3,2,1.55,uniform,1.0280732238308647e-06,5.231633048193575e-10,1.7214814925446932e-07
3,2,1.55,uniform,1.052068671023623e-06,5.422110158243688e-10,1.7616615643294366e-07
3,2,1.55,uniform,1.0766241770454934e-06,5.619522297780544e-10,1.8027794630274687e-07
3,2,1.55,uniform,1.1017528137883874e-06,5.824121962413559e-10,1.8448570784504983e-07
3,2,1.55,uniform,1.1274679582449471e-06,6.036170840796375e-10,1.887916811357681e-07
3,2,1.55,uniform,1.153783299629662e-06,6.255940149333917e-10,1.9319815853828732e-07
3,2,1.55,uniform,1.180712846666189e-06,6.48371097907568e-10,1.9770748592403433e-07
3,2,1.55,uniform,1.208270935044776e-06,6.719774655239082e-10,2.0232206392154736e-07
3,2,1.55,uniform,1.236472235053715e-06,6.964433109822376e-10,2.0704434919470363e-07
3,2,1.55,uniform,1.2653317593889428e-06,7.217999267784149e-10,2.1187685575079424e-07
3,2,1.55,uniform,1.2948648711459048e-06,7.480797447283011e-10,2.1682215627913692e-07
3,2,1.55,uniform,1.3250872919979539e-06,7.753163774489529e-10,2.2188288352094242e-07
3,2,1.55,uniform,1.356015110565632e-06,8.035446613500913e-10,2.2706173167116387e-07
3,2,1.55,uniform,1.3876647909813072e-06,8.328007011908462e-10,2.3236145781307803e-07
3,2,1.55,uniform,1.4200531816536819e-06,8.631219162587326e-10,2.3778488338635712e-07
3,2,1.55,uniform,1.4531975242368955e-06,8.945470882299673e-10,2.433348956894216e-07
3,2,1.55,uniform,1.4871154628089536e-06,9.271164107723082e-10,2.4901444941686813e-07
3,2,1.55,uniform,1.5218250532643868e-06,9.608715409538712e-10,2.548265682327953e-07
3,2,1.55,uniform,1.5573447729261351e-06,9.95855652523678e-10,2.607743463808637e-07
