p,N,beta,method,x_eval,u_exact_dd,u_h_dd
2,2,1.55,uniform,3.640174847446138e-07,673.2701772255488,1.6892223211557864
2,2,1.55,uniform,3.725137300800209e-07,666.3161805230047,1.6892223211557864
2,2,1.55,uniform,3.812082795843888e-07,659.434009473482,1.6892223211557864
2,2,1.55,uniform,3.9010576171909933e-07,652.6229222123158,1.6892223211557864
2,2,1.55,uniform,3.9921091297480534e-07,645.8821845373293,1.6892223211557864
2,2,1.55,uniform,4.0852858039285653e-07,639.2110698296896,1.6892223211557864
2,2,1.55,uniform,4.180637241455762e-07,632.6088589755822,1.6892223211557864
2,2,1.55,uniform,4.2782142017676126e-07,626.0748402886944,1.6892223211557864
2,2,1.55,uniform,4.3780686290381663e-07,619.6083094334967,1.6892223211557864
2,2,1.55,uniform,4.4802536798294896e-07,613.2085693493225,1.6892223211557864
2,2,1.55,uniform,4.5848237513890964e-07,606.8749301752256,1.6892223211557864
2,2,1.55,uniform,4.691834510607799e-07,600.6067091756172,1.6892223211557864
2,2,1.55,uniform,4.801342923653455e-07,594.4032306666711,1.6892223211557864
2,2,1.55,uniform,4.913407286296366e-07,588.263825943487,1.6892223211557864
2,2,1.55,uniform,5.028087254942475e-07,582.1878332080086,1.6892223211557864
2,2,1.55,uniform,5.145443878390924e-07,576.1745974976832,1.6892223211557864
2,2,1.55,uniform,5.265539630332755e-07,570.2234706148623,1.6892223211557864
2,2,1.55,uniform,5.388438442608223e-07,564.3338110569274,1.6892223211557864
2,2,1.55,uniform,5.514205739240302e-07,558.5049839471395,1.6892223211557864
2,2,1.55,uniform,5.642908471262542e-07,552.7363609662025,1.6892223211557864
2,2,1.55,uniform,5.774615152359826e-07,547.0273202845334,1.6892223211557864
2,2,1.55,uniform,5.909395895340976e-07,541.3772464952324,1.6892223211557864
2,2,1.55,uniform,6.047322449462642e-07,535.7855305477448,1.6892223211557864
2,2,1.55,uniform,6.188468238624383e-07,530.251569682207,1.6892223211557864
2,2,1.55,uniform,6.332908400455115e-07,524.7747673644748,1.6892223211557864
2,2,1.55,uniform,6.480719826311971e-07,519.3545332218174,1.6892223211557864
2,2,1.55,uniform,6.631981202212675e-07,513.9902829792793,1.6892223211557864
2,2,1.55,uniform,6.786773050723303e-07,508.6814383966977,1.6892223211557864
2,2,1.55,uniform,6.94517777382369e-07,503.4274272063719,1.6892223211557864
2,2,1.55,uniform,7.107279696773412e-07,498.22768305137333,1.6892223211557864
2,2,1.55,uniform,7.273165113001455e-07,493.0816454244984,1.6892223211557864
2,2,1.55,uniform,7.442922330043758e-07,487.9887596078462,1.6892223211557864
2,2,1.55,uniform,7.616641716552891e-07,482.94847661302293,1.6892223211557864
2,2,1.55,uniform,7.794415750404951e-07,477.9602531219644,1.6892223211557864
2,2,1.55,uniform,7.97633906792928e-07,473.023551428368,1.6892223211557864
2,2,1.55,uniform,8.162508514287236e-07,468.1378393797315,1.6892223211557864
2,2,1.55,uniform,8.35302319502677e-07,463.302590319989,1.6892223211557864
2,2,1.55,uniform,8.547984528840405e-07,458.5172830327393,1.6892223211557864
2,2,1.55,uniform,8.747496301554416e-07,453.78140168506303,1.6892223211557864
2,2,1.55,uniform,8.951664721378301e-07,449.0944357719173,1.6892223211557864
2,2,1.55,uniform,9.16059847544371e-07,444.4558800611055,1.6892223211557864
2,2,1.55,uniform,9.374408787663001e-07,439.8652345388164,1.6892223211557864
2,2,1.55,uniform,9.59320947793825e-07,435.32200435572463,1.6892223211557864
2,2,1.55,uniform,9.817117022752183e-07,430.82569977364864,1.6892223211557864
2,2,1.55,uniform,1.0046250617173402e-06,426.3758361127583,1.6892223211557864
2,2,1.55,uniform,1.0280732238308647e-06,421.97193369933046,1.6892223211557864
2,2,1.55,uniform,1.052068671023623e-06,417.61351781404124,1.6892223211557864
2,2,1.55,uniform,1.0766241770454934e-06,413.30011864079404,1.6892223211557864
2,2,1.55,uniform,1.1017528137883874e-06,409.0312712160754,1.6892223211557864
2,2,1.55,uniform,1.1274679582449471e-06,404.8065153788343,1.6892223211557864
2,2,1.55,uniform,1.153783299629662e-06,400.625395720879,1.6892223211557864
2,2,1.55,uniform,1.180712846666189e-06,396.4874615377868,1.6892223211557864
2,2,1.55,uniform,1.208270935044776e-06,392.39226678031844,1.6892223211557864
2,2,1.55,uniform,1.236472235053715e-06,388.33937000633887,1.6892223211557864
2,2,1.55,uniform,1.2653317593889428e-06,384.3283343332298,1.6892223211557864
2,2,1.55,uniform,1.2948648711459048e-06,380.35872739079696,1.6892223211557864
2,2,1.55,uniform,1.3250872919979539e-06,376.4301212746621,1.6892223211557864
