# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FIXED val subset size=8 seed=0 vs immersed IGA self-reference (cache=/scratch/ecaru/repo_pro/references/reference_lshape.pkl)
iteration,train_loss,val_eta2,h1_rel_val_median
170,3.060036e-01,3.062477e-01,3.718676e-02
171,3.055174e-01,3.061448e-01,3.716902e-02
172,3.051522e-01,3.061713e-01,3.715597e-02
173,3.051585e-01,3.059853e-01,3.717664e-02
174,3.047760e-01,3.059482e-01,3.713465e-02
175,3.045392e-01,3.058747e-01,3.698292e-02
176,3.053349e-01,3.058323e-01,3.707335e-02
177,3.049094e-01,3.056749e-01,3.699382e-02
178,3.053674e-01,3.056288e-01,3.713271e-02
179,3.050729e-01,3.055917e-01,3.701948e-02
180,3.045391e-01,3.054600e-01,3.699615e-02
181,3.041865e-01,3.054273e-01,3.707357e-02
182,3.041650e-01,3.053688e-01,3.701420e-02
183,3.051906e-01,3.052840e-01,3.705036e-02
184,3.042991e-01,3.052405e-01,3.701574e-02
185,3.046296e-01,3.051615e-01,3.718776e-02
186,3.048951e-01,3.051032e-01,3.696863e-02
187,3.050019e-01,3.051596e-01,3.700507e-02
188,3.042060e-01,3.049650e-01,3.706734e-02
189,3.043178e-01,3.048709e-01,3.699385e-02
190,3.044217e-01,3.048449e-01,3.700269e-02
191,3.038666e-01,3.047517e-01,3.703030e-02
192,3.041564e-01,3.047005e-01,3.688031e-02
193,3.045739e-01,3.046724e-01,3.701339e-02
194,3.040266e-01,3.046025e-01,3.695016e-02
195,3.041461e-01,3.047039e-01,3.702146e-02
196,3.045043e-01,3.044780e-01,3.703844e-02
197,3.043175e-01,3.044452e-01,3.712308e-02
198,3.039929e-01,3.044736e-01,3.694241e-02
199,3.032225e-01,3.042989e-01,3.683666e-02
200,3.034732e-01,3.042637e-01,3.688346e-02
201,3.035770e-01,3.042581e-01,3.682686e-02
202,3.035955e-01,3.041305e-01,3.679993e-02
203,3.039446e-01,3.040664e-01,3.682032e-02
204,3.033703e-01,3.040287e-01,3.676750e-02
205,3.033092e-01,3.039424e-01,3.682631e-02
206,3.032871e-01,3.039949e-01,3.690367e-02
207,3.033153e-01,3.038737e-01,3.694578e-02
208,2.072918e-01,1.969654e-01,1.652685e-02
209,1.843351e-01,1.821270e-01,1.364695e-02
210,1.746937e-01,1.767565e-01,1.321893e-02
211,1.699257e-01,1.733952e-01,1.295899e-02
212,1.670850e-01,1.709828e-01,1.280124e-02
